ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
ALIGOI2;ALI;GOI2;AL;GO; R$ 443,99 ; R$ 521,68 ; R$ 615,16 ; R$ 785,72 ; R$ 1.084,86 ; R$ 1.607,03 ; R$ 16,07 ;1,24%
ALIGUDI;ALI;GUDI;AL;MG; R$ 285,07 ; R$ 334,94 ; R$ 394,96 ; R$ 504,47 ; R$ 696,53 ; R$ 1.031,78 ; R$ 10,32 ;0,83%
ALIGUDI2;ALI;GUDI2;AL;MG; R$ 350,84 ; R$ 412,23 ; R$ 486,11 ; R$ 620,88 ; R$ 857,26 ; R$ 1.269,89 ; R$ 12,69 ;0,83%
ALIGYN;ALI;GYN;AL;GO; R$ 277,50 ; R$ 326,05 ; R$ 384,48 ; R$ 491,08 ; R$ 678,04 ; R$ 1.004,40 ; R$ 10,04 ;1,24%
ALIITJ;ALI;ITJ;AL;SC; R$ 250,00 ; R$ 293,73 ; R$ 346,38 ; R$ 442,41 ; R$ 610,85 ; R$ 904,86 ; R$ 9,05 ;1,24%
ALIJOI;ALI;JOI;AL;SC; R$ 241,56 ; R$ 283,82 ; R$ 334,69 ; R$ 427,48 ; R$ 590,23 ; R$ 874,34 ; R$ 8,74 ;1,24%
ALIJPA;ALI;JPA;AL;PB; R$ 192,08 ; R$ 225,68 ; R$ 266,14 ; R$ 339,93 ; R$ 469,33 ; R$ 695,24 ; R$ 6,95 ;0,83%
ALILDB;ALI;LDB;AL;PR; R$ 278,15 ; R$ 326,82 ; R$ 385,39 ; R$ 492,25 ; R$ 679,65 ; R$ 1.006,78 ; R$ 10,06 ;1,13%
ALIMAI;ALI;MAI;AL;MA; R$ 314,49 ; R$ 369,50 ; R$ 435,72 ; R$ 556,54 ; R$ 768,42 ; R$ 1.138,27 ; R$ 11,38 ;0,83%
ALIMAI2;ALI;MAI2;AL;MA; R$ 387,06 ; R$ 454,78 ; R$ 536,28 ; R$ 684,96 ; R$ 945,75 ; R$ 1.400,95 ; R$ 14,01 ;0,83%
